symbol,S,K,r,sigma,T,isCall
AMD_C_195_71,190.23,195.81,0.0455,0.3816,1.0995,1
NVDA_P_411_72,473.71,411.40,0.0395,0.3833,0.7219,0
SPY_P_223_73,254.30,223.44,0.0409,0.2808,1.5907,0
AMZN_P_466_74,494.40,466.31,0.0368,0.2570,0.2074,0
SPY_C_64_75,70.28,64.76,0.0421,0.2616,0.4862,1
AMZN_C_108_76,121.31,108.47,0.0350,0.1614,0.5742,1
META_P_383_77,340.45,383.35,0.0400,0.2298,1.6315,0
NVDA_P_176_78,168.06,176.18,0.0350,0.3260,1.3886,0
TSLA_P_117_79,104.34,117.71,0.0358,0.2348,1.3902,0
SPY_C_323_80,339.08,323.06,0.0388,0.2713,1.8629,1
GOOGL_P_94_81,95.50,94.31,0.0425,0.3703,1.7237,0
NVDA_P_121_82,117.42,121.22,0.0478,0.2350,1.8910,0
AAPL_C_431_83,497.52,431.98,0.0466,0.3193,0.4172,1
QQQ_P_419_84,475.39,419.28,0.0320,0.2322,1.3618,0
TSLA_P_149_85,136.40,149.76,0.0459,0.3890,0.6039,0
NVDA_C_344_86,334.47,344.56,0.0365,0.2488,0.7167,1
TSLA_P_355_87,389.03,355.07,0.0331,0.2775,1.7528,0
NVDA_C_131_88,117.61,131.24,0.0417,0.1771,0.5150,1
SPY_P_239_89,241.98,239.23,0.0327,0.2468,0.6553,0
AAPL_C_244_90,229.42,244.39,0.0330,0.3021,1.5332,1
AAPL_P_201_91,210.28,201.25,0.0492,0.1985,0.4513,0
QQQ_P_81_92,90.66,81.16,0.0450,0.2906,0.6247,0
QQQ_C_177_93,191.51,177.84,0.0362,0.1712,0.7516,1
AMD_P_432_94,492.07,432.65,0.0462,0.2278,0.3331,0
QQQ_C_367_95,377.56,367.85,0.0376,0.3799,0.3551,1
NVDA_P_79_96,89.58,79.31,0.0315,0.2742,0.7271,0
NVDA_C_196_97,228.45,196.61,0.0379,0.3186,1.8542,1
MSFT_C_310_98,330.79,310.98,0.0417,0.2134,0.5950,1
AAPL_C_326_99,350.79,326.11,0.0472,0.2508,1.3024,1
META_P_159_100,173.55,159.01,0.0329,0.1861,0.4597,0
GOOGL_P_192_101,195.11,192.33,0.0439,0.1958,0.4798,0
TSLA_P_107_102,98.82,107.81,0.0482,0.2861,1.4957,0
META_C_442_103,463.40,442.02,0.0462,0.2745,1.3573,1
AAPL_P_244_104,213.89,244.58,0.0314,0.2077,0.4886,0
QQQ_P_375_105,352.94,375.53,0.0445,0.3640,1.8421,0
AAPL_P_388_106,354.80,388.12,0.0368,0.2028,0.9494,0
MSFT_P_191_107,172.49,191.77,0.0383,0.3378,0.0886,0
QQQ_P_424_108,447.34,424.70,0.0436,0.3936,1.7989,0
QQQ_C_280_109,317.54,280.57,0.0442,0.1501,0.5113,1
NVDA_P_481_110,462.59,481.26,0.0443,0.2305,0.6229,0
SPY_P_191_111,176.06,191.31,0.0477,0.3858,1.8447,0
QQQ_P_266_112,299.40,266.49,0.0328,0.3721,0.3795,0
MSFT_C_292_113,306.50,292.64,0.0310,0.2029,1.5423,1
AMZN_P_140_114,153.94,140.19,0.0314,0.2707,0.7822,0
QQQ_C_117_115,102.25,117.02,0.0468,0.2772,0.6751,1
TSLA_C_75_116,89.08,75.99,0.0400,0.2975,0.4933,1
QQQ_C_383_117,389.69,383.43,0.0339,0.3922,0.7102,1
TSLA_C_363_118,370.48,363.58,0.0408,0.2165,1.1406,1
GOOGL_C_188_119,178.28,188.04,0.0479,0.2447,1.7782,1
GOOGL_C_539_120,493.40,539.06,0.0481,0.2381,1.1066,1
GOOGL_P_176_121,161.87,176.25,0.0489,0.1752,0.9149,0
AAPL_P_430_122,441.61,430.32,0.0481,0.2065,1.4270,0
AAPL_C_284_123,252.25,284.56,0.0489,0.2845,1.6472,1
AMD_C_103_124,107.67,103.87,0.0412,0.2356,1.9241,1
GOOGL_P_130_125,133.70,130.71,0.0434,0.2296,0.8999,0
MSFT_C_120_126,138.17,120.11,0.0455,0.2408,0.8367,1
GOOGL_P_207_127,191.47,207.53,0.0462,0.2983,1.6990,0
SPY_P_261_128,273.25,261.97,0.0360,0.1798,1.0756,0
NVDA_P_56_129,55.54,56.43,0.0436,0.1942,1.7577,0
MSFT_P_381_130,422.97,381.83,0.0487,0.3780,0.3150,0
MSFT_C_61_131,70.57,61.89,0.0303,0.3710,1.2288,1
AMD_P_119_132,116.83,119.43,0.0312,0.3520,1.1070,0
GOOGL_C_224_133,210.62,224.83,0.0364,0.3302,1.0358,1
SPY_P_209_134,228.95,209.37,0.0331,0.2057,0.9705,0
TSLA_P_526_135,481.32,526.87,0.0342,0.3610,0.2876,0
AAPL_C_384_136,417.72,384.48,0.0425,0.2309,1.8239,1
GOOGL_P_141_137,125.98,141.15,0.0346,0.1815,1.9677,0
AMD_C_454_138,399.79,454.62,0.0413,0.2219,0.3851,1
AAPL_P_80_139,83.62,80.71,0.0472,0.3719,0.6977,0
NVDA_P_385_140,395.36,385.42,0.0443,0.3412,1.4768,0
META_P_365_141,318.87,365.03,0.0397,0.3127,1.2344,0
TSLA_P_359_142,373.33,359.88,0.0357,0.2469,1.1000,0
GOOGL_C_372_143,375.20,372.35,0.0436,0.3676,1.8047,1
SPY_P_288_144,265.60,288.80,0.0400,0.1551,0.3256,0
MSFT_C_146_145,132.83,146.99,0.0436,0.2603,1.0495,1
MSFT_C_212_146,201.62,212.23,0.0499,0.2576,1.1874,1
AMZN_C_229_147,258.63,229.97,0.0371,0.2175,0.7557,1
QQQ_P_492_148,479.56,492.61,0.0459,0.3148,1.8086,0
GOOGL_C_476_149,488.78,476.15,0.0449,0.2584,0.4721,1
META_C_415_150,464.35,415.89,0.0413,0.1845,0.2218,1
QQQ_C_208_151,224.56,208.47,0.0324,0.3338,1.3741,1
NVDA_P_429_152,396.05,429.42,0.0474,0.2773,1.4315,0
MSFT_C_261_153,239.29,261.51,0.0392,0.1781,1.5285,1
AAPL_P_262_154,250.71,262.58,0.0353,0.1919,1.2598,0
AMD_P_350_155,310.85,350.12,0.0491,0.2111,0.2273,0
AMZN_C_456_156,421.54,456.09,0.0319,0.1727,1.8166,1
AAPL_P_77_157,78.11,77.66,0.0451,0.3260,1.3788,0
META_P_395_158,373.97,395.22,0.0462,0.3844,0.3542,0
GOOGL_C_431_159,488.44,431.45,0.0396,0.3998,0.3456,1
GOOGL_P_243_160,279.45,243.66,0.0389,0.3864,0.1267,0
GOOGL_P_144_161,169.27,144.08,0.0436,0.2057,0.6384,0
MSFT_P_56_162,58.75,56.71,0.0391,0.2572,0.8330,0
AMD_P_478_163,463.77,478.05,0.0361,0.3506,1.1984,0
META_C_285_164,273.17,285.51,0.0477,0.1882,0.2255,1
AMD_C_121_165,142.52,121.38,0.0423,0.2536,1.1964,1
AAPL_C_438_166,382.71,438.89,0.0372,0.3487,0.3791,1
GOOGL_C_479_167,489.16,479.03,0.0445,0.2677,0.8809,1
TSLA_P_130_168,147.32,130.50,0.0489,0.3688,1.2119,0
SPY_C_247_169,217.33,247.54,0.0307,0.3991,0.7245,1
GOOGL_C_65_170,64.51,65.78,0.0448,0.3922,1.0544,1
QQQ_P_296_171,340.28,296.20,0.0327,0.3624,1.6346,0
AMZN_C_322_172,296.99,322.24,0.0474,0.2151,0.9030,1
TSLA_P_87_173,98.99,87.22,0.0418,0.2863,1.6254,0
SPY_P_267_174,286.63,267.96,0.0373,0.2579,1.4640,0
NVDA_P_429_175,404.52,429.51,0.0323,0.1623,0.1160,0
TSLA_P_418_176,484.58,418.59,0.0473,0.3695,0.5581,0
TSLA_P_359_177,408.79,359.86,0.0330,0.3731,1.8419,0
TSLA_C_439_178,435.40,439.22,0.0449,0.1964,1.2229,1
META_C_207_179,210.80,207.93,0.0424,0.2402,0.6858,1
NVDA_P_74_180,72.62,74.91,0.0311,0.2850,0.9330,0
META_C_86_181,75.46,86.57,0.0493,0.3168,0.6741,1
AMD_P_278_182,317.13,278.47,0.0320,0.2869,0.8094,0
MSFT_C_478_183,471.36,478.96,0.0361,0.3778,1.3450,1
GOOGL_C_468_184,462.14,468.24,0.0484,0.2918,1.3646,1
AMD_C_138_185,146.19,138.57,0.0411,0.2674,0.3299,1
MSFT_C_387_186,380.46,387.25,0.0408,0.1747,1.4341,1
AMZN_C_232_187,239.74,232.06,0.0401,0.1778,0.9360,1
GOOGL_P_413_188,451.89,413.66,0.0344,0.3308,1.1304,0
META_C_238_189,271.96,238.45,0.0360,0.3161,1.2991,1
TSLA_C_435_190,422.11,435.48,0.0389,0.2250,1.1050,1
NVDA_C_329_191,315.60,329.18,0.0443,0.2034,0.6935,1
NVDA_C_294_192,332.01,294.67,0.0411,0.3593,1.0803,1
SPY_C_383_193,346.56,383.39,0.0343,0.3729,0.8692,1
GOOGL_C_490_194,464.68,490.50,0.0363,0.3159,0.2925,1
AAPL_C_345_195,396.24,345.16,0.0379,0.3802,1.3582,1
QQQ_P_211_196,196.78,211.18,0.0317,0.3896,1.0889,0
AAPL_C_363_197,346.67,363.08,0.0476,0.2855,1.0417,1
MSFT_C_273_198,318.11,273.63,0.0337,0.3493,0.1219,1
AMZN_P_161_199,142.66,161.70,0.0466,0.3750,0.4039,0
AMD_P_456_200,417.97,456.36,0.0359,0.3690,0.9945,0
TSLA_C_189_201,181.28,189.16,0.0446,0.3151,1.9776,1
AMD_C_99_202,105.39,99.17,0.0478,0.1648,0.3372,1
NVDA_C_250_203,259.96,250.46,0.0441,0.3840,1.0154,1
TSLA_C_92_204,102.54,92.04,0.0399,0.3580,0.2970,1
AMD_C_263_205,256.88,263.35,0.0446,0.3638,1.2266,1
TSLA_P_404_206,353.47,404.64,0.0401,0.1703,1.2490,0
AMZN_P_105_207,110.60,105.80,0.0371,0.3638,1.2944,0
QQQ_C_493_208,437.97,493.36,0.0457,0.2366,0.9828,1
MSFT_C_96_209,108.14,96.42,0.0406,0.3990,1.8236,1
NVDA_P_384_210,341.51,384.29,0.0345,0.1840,0.9543,0
AAPL_C_251_211,220.91,251.46,0.0344,0.3433,0.2633,1
AMD_C_460_212,482.52,460.14,0.0301,0.2218,1.8377,1
AAPL_P_177_213,174.25,177.94,0.0494,0.2764,0.7679,0
GOOGL_P_138_214,136.24,138.36,0.0306,0.3192,0.4514,0
TSLA_C_147_215,151.41,147.14,0.0375,0.2618,0.8261,1
TSLA_C_108_216,108.29,108.29,0.0406,0.2145,1.6100,1
MSFT_C_334_217,338.65,334.32,0.0495,0.3472,0.3716,1
NVDA_P_194_218,182.16,194.58,0.0336,0.2296,0.4782,0
AMD_P_414_219,448.98,414.28,0.0412,0.3756,0.8267,0
AAPL_C_352_220,370.71,352.21,0.0352,0.2197,0.5819,1
META_C_339_221,359.26,339.97,0.0364,0.2384,0.1481,1
SPY_P_95_222,87.63,95.16,0.0472,0.3548,0.8550,0
QQQ_C_60_223,59.77,60.84,0.0463,0.2973,1.4677,1
AMZN_P_334_224,374.62,334.25,0.0345,0.3115,1.5034,0
NVDA_P_285_225,257.60,285.61,0.0457,0.2368,1.7412,0
MSFT_C_210_226,242.25,210.58,0.0356,0.2896,0.2235,1
NVDA_P_100_227,92.31,100.93,0.0472,0.1615,0.6206,0
MSFT_C_456_228,423.74,456.07,0.0334,0.3134,1.6204,1
GOOGL_P_433_229,436.60,433.27,0.0433,0.2214,1.1655,0
META_C_255_230,252.52,255.22,0.0372,0.3694,1.5942,1
TSLA_C_220_231,258.11,220.75,0.0335,0.3231,1.0992,1
NVDA_P_360_232,342.57,360.08,0.0499,0.2620,0.3510,0
AMD_P_88_233,92.60,88.35,0.0439,0.3794,0.8703,0
AMZN_C_211_234,236.96,211.04,0.0470,0.3238,1.4739,1
QQQ_P_257_235,235.19,257.67,0.0309,0.2183,0.4795,0
MSFT_C_349_236,385.81,349.25,0.0468,0.1774,0.5548,1
SPY_P_338_237,315.99,338.38,0.0443,0.3740,0.7044,0
META_P_397_238,346.12,397.08,0.0393,0.3717,0.1989,0
MSFT_P_441_239,441.37,441.20,0.0310,0.3517,1.6101,0
QQQ_C_58_240,64.18,58.74,0.0312,0.3454,1.5042,1
SPY_C_247_241,270.27,247.94,0.0420,0.3406,1.7069,1
AMZN_P_80_242,81.43,80.05,0.0401,0.1886,1.7152,0
META_P_399_243,404.29,399.91,0.0386,0.3378,1.5610,0
QQQ_P_192_244,221.36,192.60,0.0407,0.1980,0.0967,0
TSLA_P_276_245,304.13,276.00,0.0327,0.3516,1.9189,0
GOOGL_C_337_246,347.75,337.30,0.0318,0.1896,1.6797,1
SPY_P_368_247,331.61,368.75,0.0352,0.3299,0.7677,0
META_P_307_248,348.61,307.18,0.0396,0.3305,0.5901,0
MSFT_C_342_249,322.05,342.75,0.0426,0.2158,1.1095,1
AMD_C_333_250,319.14,333.10,0.0357,0.2585,1.1111,1
AMD_C_413_251,425.82,413.57,0.0497,0.2839,1.1949,1
NVDA_P_502_252,453.54,502.05,0.0405,0.2421,0.2840,0
QQQ_C_361_253,388.07,361.58,0.0401,0.3720,0.9929,1
SPY_C_85_254,93.71,85.58,0.0346,0.3167,0.4085,1
META_P_314_255,313.78,314.43,0.0323,0.1568,1.2766,0
AMD_P_361_256,381.37,361.64,0.0385,0.2731,0.3709,0
TSLA_C_245_257,236.18,245.79,0.0457,0.3346,1.1800,1
GOOGL_P_460_258,453.12,460.24,0.0425,0.2412,0.5425,0
MSFT_P_140_259,129.70,140.09,0.0449,0.3104,1.8515,0
SPY_C_371_260,355.64,371.56,0.0406,0.2241,0.7745,1
NVDA_C_363_261,333.18,363.73,0.0399,0.3951,1.7766,1
AAPL_P_57_262,66.53,57.69,0.0363,0.2324,1.7050,0
NVDA_C_420_263,478.58,420.31,0.0467,0.1635,0.2178,1
NVDA_P_363_264,393.63,363.46,0.0474,0.2833,1.8139,0
TSLA_C_335_265,305.72,335.65,0.0308,0.2045,0.8118,1
QQQ_C_212_266,214.01,212.94,0.0498,0.2160,1.6233,1
NVDA_P_242_267,256.22,242.86,0.0407,0.3344,0.2486,0
AAPL_C_409_268,474.23,409.80,0.0491,0.1601,1.8532,1
NVDA_C_416_269,446.08,416.37,0.0480,0.2486,1.2709,1
SPY_C_256_270,250.46,256.12,0.0311,0.2176,1.7632,1
QQQ_C_425_271,430.32,425.95,0.0362,0.3715,1.1346,1
AMD_P_311_272,360.68,311.35,0.0394,0.3597,0.3127,0
META_P_285_273,270.48,285.30,0.0379,0.3056,0.2474,0
GOOGL_C_450_274,419.98,450.54,0.0325,0.1865,1.3108,1
GOOGL_C_164_275,154.64,164.71,0.0444,0.1592,1.1141,1
MSFT_C_259_276,248.84,259.31,0.0477,0.3241,0.9244,1
AMZN_C_481_277,468.11,481.54,0.0433,0.3654,1.4865,1
SPY_P_187_278,215.35,187.71,0.0346,0.3470,1.0855,0
AMD_P_381_279,444.41,381.79,0.0402,0.3523,1.7504,0
META_C_366_280,364.50,366.19,0.0349,0.3345,1.5634,1
QQQ_C_288_281,292.70,288.41,0.0309,0.1761,1.0104,1
MSFT_C_428_282,425.98,428.71,0.0387,0.3763,0.5669,1
META_C_356_283,384.25,356.35,0.0483,0.2229,0.2806,1
SPY_P_291_284,260.66,291.29,0.0334,0.3159,1.8304,0
AAPL_P_349_285,404.57,349.73,0.0428,0.2022,1.1415,0
TSLA_C_126_286,140.91,126.43,0.0381,0.3705,1.7208,1
NVDA_P_480_287,447.74,480.46,0.0368,0.3099,1.4853,0
AMZN_P_63_288,56.82,63.28,0.0466,0.1702,1.9121,0
AAPL_P_292_289,311.74,292.62,0.0420,0.3363,1.1212,0
QQQ_C_411_290,385.50,411.57,0.0380,0.2834,0.9912,1
TSLA_C_151_291,153.31,151.05,0.0439,0.2754,0.5280,1
AAPL_C_477_292,476.22,477.12,0.0450,0.2624,1.5744,1
NVDA_P_264_293,253.99,264.17,0.0445,0.1974,1.8624,0
MSFT_P_395_294,370.03,395.95,0.0453,0.3454,0.7631,0
GOOGL_P_282_295,305.32,282.83,0.0465,0.2481,0.4477,0
QQQ_C_274_296,280.72,274.59,0.0408,0.1644,1.8900,1
AMZN_P_70_297,71.17,70.56,0.0384,0.3935,1.5054,0
AMD_C_65_298,61.89,65.84,0.0426,0.3851,1.4155,1
AAPL_P_140_299,152.41,140.62,0.0424,0.3199,1.3859,0
TSLA_C_158_300,155.13,158.52,0.0417,0.3672,0.9202,1
AMD_P_275_301,254.88,275.31,0.0500,0.2810,1.6644,0
META_C_232_302,212.10,232.67,0.0313,0.3329,1.9765,1
TSLA_C_375_303,361.90,375.91,0.0451,0.3713,0.8829,1
META_P_289_304,299.96,289.72,0.0441,0.2423,0.3787,0
QQQ_P_458_305,462.78,458.24,0.0421,0.3174,0.0926,0
SPY_C_48_306,51.37,48.75,0.0361,0.2235,1.2796,1
META_C_323_307,300.82,323.25,0.0420,0.2982,0.2839,1
SPY_C_240_308,221.14,240.85,0.0369,0.3210,0.9574,1
TSLA_C_266_309,272.29,266.93,0.0343,0.2667,0.4748,1
NVDA_P_360_310,382.25,360.56,0.0427,0.2033,0.5226,0
AMD_C_94_311,100.85,94.57,0.0475,0.2398,0.9541,1
AMZN_P_375_312,328.14,375.42,0.0357,0.3696,0.5547,0
SPY_C_121_313,127.50,121.01,0.0303,0.3075,0.7806,1
AMD_C_264_314,276.53,264.41,0.0337,0.2781,1.9176,1
TSLA_P_311_315,306.30,311.28,0.0477,0.1600,0.1444,0
AMD_C_391_316,398.05,391.71,0.0373,0.1837,1.6739,1
GOOGL_P_511_317,489.37,511.91,0.0321,0.2813,1.4915,0
GOOGL_P_400_318,379.51,400.39,0.0436,0.2132,1.4247,0
SPY_C_296_319,284.19,296.94,0.0365,0.1634,1.5489,1
NVDA_C_242_320,254.74,242.54,0.0313,0.3291,0.2847,1
AMZN_C_386_321,347.09,386.54,0.0396,0.3709,0.1720,1
GOOGL_P_469_322,416.39,469.68,0.0489,0.2484,0.6646,0
GOOGL_C_182_323,158.58,182.10,0.0443,0.3750,0.6673,1
AMZN_C_54_324,54.61,54.94,0.0341,0.1619,1.4294,1
QQQ_P_463_325,467.12,463.53,0.0396,0.3301,1.5455,0
AAPL_P_374_326,396.48,374.92,0.0459,0.2290,1.5533,0
GOOGL_P_181_327,212.24,181.75,0.0386,0.2950,0.8588,0
META_C_397_328,457.18,397.26,0.0307,0.3579,1.2633,1
AAPL_C_344_329,363.09,344.83,0.0400,0.2262,0.4858,1
AMD_C_228_330,224.22,228.03,0.0313,0.2375,0.4564,1
GOOGL_P_347_331,326.67,347.75,0.0470,0.1610,0.4191,0
NVDA_C_209_332,226.52,209.51,0.0301,0.1760,1.5438,1
GOOGL_C_386_333,356.55,386.00,0.0353,0.2308,1.1654,1
QQQ_C_207_334,180.59,207.55,0.0381,0.2034,0.6284,1
QQQ_P_461_335,424.80,461.73,0.0401,0.1652,1.6413,0
AMD_P_159_336,151.16,159.36,0.0425,0.2509,0.3512,0
QQQ_C_87_337,84.38,87.46,0.0328,0.2312,0.9944,1
MSFT_C_368_338,325.42,368.49,0.0350,0.1680,0.6522,1
AMD_C_337_339,295.91,337.05,0.0497,0.3071,0.8570,1
MSFT_C_151_340,156.42,151.52,0.0411,0.3604,1.9398,1
GOOGL_P_406_341,382.85,406.10,0.0304,0.2474,1.2029,0
QQQ_P_372_342,377.41,372.73,0.0466,0.2347,1.8746,0
META_P_145_343,170.41,145.70,0.0378,0.1698,1.6532,0
META_C_237_344,207.07,237.43,0.0364,0.3250,0.7675,1
GOOGL_C_56_345,60.51,56.54,0.0406,0.2186,1.9795,1
SPY_P_395_346,454.43,395.14,0.0349,0.2908,1.7517,0
AMZN_C_309_347,315.88,309.11,0.0448,0.3304,0.1472,1
GOOGL_C_459_348,495.72,459.88,0.0465,0.2905,0.0881,1
MSFT_P_193_349,192.96,193.25,0.0325,0.1505,1.4561,0
QQQ_P_62_350,68.98,62.13,0.0420,0.3209,0.8392,0
META_C_455_351,442.75,455.96,0.0343,0.3879,1.7417,1
META_P_287_352,282.21,287.42,0.0345,0.2006,0.7332,0
NVDA_C_109_353,124.92,109.83,0.0437,0.1739,1.6202,1
SPY_P_169_354,187.42,169.27,0.0405,0.3759,1.4387,0
NVDA_P_352_355,392.15,352.71,0.0329,0.2854,1.3668,0
NVDA_C_402_356,369.12,402.37,0.0385,0.2813,1.0357,1
QQQ_C_446_357,450.63,446.93,0.0410,0.1622,1.9727,1
NVDA_P_428_358,465.88,428.20,0.0391,0.3225,0.9389,0
AMD_C_177_359,172.34,177.20,0.0378,0.3155,1.0099,1
AMZN_P_321_360,337.68,321.11,0.0432,0.2670,1.6341,0
TSLA_C_97_361,96.05,97.75,0.0345,0.2758,1.7903,1
AMD_C_113_362,112.06,114.00,0.0377,0.3080,0.8891,1
AAPL_C_466_363,488.80,466.70,0.0394,0.1715,0.6996,1
QQQ_P_193_364,197.70,193.60,0.0421,0.2132,0.2941,0
QQQ_P_145_365,159.46,145.82,0.0303,0.2944,0.8740,0
MSFT_P_130_366,134.95,130.24,0.0399,0.3221,1.9008,0
META_C_76_367,81.76,76.17,0.0378,0.2597,1.9555,1
META_C_141_368,134.08,141.06,0.0472,0.3544,0.9395,1
AMZN_C_238_369,266.51,238.74,0.0495,0.3940,0.1858,1
QQQ_P_282_370,278.27,282.50,0.0363,0.2436,0.7741,0
MSFT_C_502_371,468.22,502.45,0.0421,0.1640,1.0905,1
AMZN_P_395_372,393.54,395.64,0.0394,0.3066,0.0811,0
AAPL_C_161_373,169.38,161.63,0.0425,0.1836,1.4788,1
MSFT_P_62_374,65.82,62.50,0.0310,0.2269,1.7331,0
META_P_118_375,108.21,118.41,0.0479,0.2857,1.4542,0
AMZN_C_234_376,265.48,234.31,0.0359,0.3998,0.9866,1
MSFT_P_493_377,473.06,493.72,0.0420,0.3588,0.8991,0
TSLA_C_265_378,275.00,265.09,0.0432,0.1935,1.4170,1
AAPL_P_237_379,231.23,237.57,0.0427,0.3047,0.3971,0
AMD_P_76_380,87.15,76.35,0.0324,0.3697,0.8284,0
AAPL_C_146_381,167.54,146.86,0.0320,0.2769,0.2878,1
AAPL_P_189_382,196.90,189.06,0.0383,0.3649,0.3192,0
AAPL_P_509_383,478.43,509.90,0.0304,0.2093,1.5556,0
AAPL_C_234_384,225.21,234.70,0.0437,0.3075,1.1563,1
GOOGL_C_346_385,316.23,346.22,0.0317,0.2471,0.1102,1
AMD_C_234_386,211.61,234.04,0.0489,0.3041,1.0388,1
GOOGL_C_119_387,137.09,119.87,0.0343,0.2188,0.5614,1
TSLA_C_208_388,190.59,208.76,0.0380,0.2993,1.5950,1
GOOGL_P_193_389,222.30,193.10,0.0472,0.3638,1.9874,0
TSLA_C_280_390,278.44,280.74,0.0430,0.1741,1.7387,1
