symbol,S,K,r,sigma,T,isCall
AMZN_P_123_52,118.70,123.38,0.0355,0.1794,0.7550,0
GOOGL_C_343_53,399.32,343.79,0.0474,0.2293,1.8599,1
NVDA_P_476_54,431.42,476.66,0.0449,0.1822,1.8726,0
AMD_P_276_55,301.55,276.18,0.0460,0.2798,1.4134,0
TSLA_C_226_56,256.15,226.88,0.0422,0.1500,1.3604,1
AAPL_P_355_57,327.81,355.89,0.0353,0.3679,0.1051,0
MSFT_P_67_58,76.43,67.09,0.0337,0.2809,1.2852,0
QQQ_C_70_59,72.33,70.95,0.0354,0.2203,0.5390,1
GOOGL_C_336_60,292.99,336.22,0.0445,0.3779,0.2615,1
AAPL_P_370_61,406.71,370.84,0.0372,0.2288,0.6695,0
NVDA_P_61_62,54.82,61.03,0.0428,0.2325,1.6666,0
QQQ_C_209_63,183.03,209.58,0.0304,0.3012,0.4035,1
AMD_C_410_64,398.97,410.79,0.0371,0.3000,1.4436,1
QQQ_C_416_65,482.97,416.20,0.0489,0.2735,1.4902,1
TSLA_C_383_66,333.64,383.34,0.0466,0.3459,0.9934,1
NVDA_C_505_67,465.36,505.34,0.0465,0.3770,0.6777,1
SPY_C_478_68,442.70,478.29,0.0425,0.1542,0.1727,1
GOOGL_C_409_69,470.89,409.16,0.0336,0.3488,0.1400,1
SPY_P_431_70,387.45,431.84,0.0358,0.3032,0.6222,0
AMD_P_301_71,342.69,301.64,0.0407,0.3207,0.2342,0
META_C_342_72,342.00,342.64,0.0357,0.1998,0.6274,1
META_C_186_73,207.74,186.16,0.0401,0.2953,1.4835,1
AMD_C_412_74,391.52,412.63,0.0472,0.1581,0.4398,1
NVDA_C_186_75,194.68,186.17,0.0392,0.1865,1.9512,1
TSLA_P_343_76,304.88,343.78,0.0329,0.2742,1.3494,0
MSFT_P_198_77,180.48,198.76,0.0335,0.1975,0.7497,0
AMZN_P_489_78,435.91,489.48,0.0472,0.1943,1.9660,0
GOOGL_C_252_79,265.46,252.97,0.0394,0.1513,1.6764,1
TSLA_C_153_80,169.07,153.36,0.0356,0.3526,0.9603,1
AMD_P_361_81,395.09,361.92,0.0461,0.2606,1.3916,0
MSFT_P_397_82,391.13,397.83,0.0345,0.2432,0.2939,0
GOOGL_C_394_83,396.93,394.59,0.0438,0.3239,1.9056,1
GOOGL_P_228_84,211.31,228.05,0.0418,0.2703,0.7978,0
AMZN_C_79_85,74.38,79.09,0.0304,0.3568,0.9799,1
AAPL_P_330_86,303.30,330.50,0.0427,0.2619,1.8256,0
GOOGL_P_413_87,407.55,413.10,0.0428,0.3397,1.6866,0
TSLA_P_57_88,57.21,57.92,0.0435,0.3326,0.8181,0
MSFT_P_116_89,106.59,116.28,0.0479,0.3482,0.3451,0
AMZN_P_92_90,84.88,92.19,0.0415,0.2918,1.9683,0
QQQ_C_452_91,489.22,452.79,0.0340,0.2652,1.7719,1
SPY_P_235_92,254.36,235.76,0.0470,0.3134,1.5132,0
AMD_C_338_93,339.17,338.64,0.0346,0.3217,1.0218,1
TSLA_P_189_94,179.20,189.77,0.0483,0.2585,1.3632,0
AMZN_P_310_95,337.78,310.43,0.0307,0.2329,1.6273,0
GOOGL_C_48_96,50.44,48.97,0.0321,0.1761,0.2896,1
AAPL_P_246_97,263.53,246.02,0.0392,0.3000,0.4925,0
META_C_65_98,76.23,65.87,0.0358,0.3691,1.7490,1
AAPL_P_117_99,108.93,117.12,0.0307,0.3688,0.6359,0
