symbol,S,K,r,sigma,T,isCall
NVDA_C_226_45,253.83,226.73,0.0434,0.2875,1.2580,1
QQQ_C_99_46,107.97,99.28,0.0484,0.3667,1.9945,1
META_C_370_47,350.98,370.96,0.0458,0.1981,0.6014,1
META_C_84_48,98.94,84.56,0.0357,0.3605,0.8273,1
META_P_225_49,261.68,225.52,0.0362,0.2953,0.3392,0
AMD_C_274_50,281.32,274.53,0.0402,0.3325,0.9200,1
NVDA_P_393_51,424.33,393.54,0.0412,0.2442,0.8352,0
META_P_127_52,146.45,127.03,0.0372,0.3717,1.7368,0
MSFT_P_122_53,117.47,122.95,0.0426,0.1605,1.5080,0
META_P_323_54,326.53,323.40,0.0486,0.2990,0.7678,0
AAPL_P_245_55,231.23,245.67,0.0415,0.3695,0.9482,0
AMD_C_136_56,144.10,136.97,0.0479,0.3390,0.9482,1
TSLA_C_64_57,72.43,64.94,0.0459,0.3883,1.7334,1
NVDA_C_396_58,363.04,396.23,0.0326,0.1955,1.2152,1
AAPL_C_147_59,147.21,147.48,0.0478,0.1851,1.5011,1
AAPL_P_315_60,367.71,315.73,0.0392,0.2080,1.7805,0
MSFT_C_385_61,444.52,385.30,0.0355,0.2305,1.8246,1
META_C_390_62,394.57,390.93,0.0492,0.2538,1.5765,1
MSFT_C_255_63,250.47,255.34,0.0425,0.2046,0.5851,1
AMD_P_436_64,419.92,436.04,0.0353,0.2331,1.4933,0
AMZN_C_101_65,89.24,101.47,0.0327,0.3626,1.5888,1
NVDA_P_53_66,55.28,53.00,0.0361,0.3345,0.8507,0
QQQ_C_67_67,67.53,67.78,0.0369,0.3573,0.1703,1
AMD_P_375_68,411.74,375.80,0.0309,0.2055,0.5798,0
TSLA_P_78_69,76.63,78.49,0.0453,0.3112,1.9947,0
AMD_P_278_70,286.65,278.69,0.0466,0.2533,1.4009,0
TSLA_C_242_71,219.43,242.76,0.0319,0.2183,0.1355,1
MSFT_P_68_72,79.13,68.83,0.0310,0.2811,1.1656,0
MSFT_C_106_73,120.46,106.94,0.0307,0.3692,1.0247,1
TSLA_P_287_74,265.32,287.62,0.0338,0.2859,0.9753,0
AMZN_P_361_75,353.01,361.92,0.0461,0.1509,0.4702,0
MSFT_C_102_76,107.84,102.69,0.0382,0.2568,0.1980,1
NVDA_P_55_77,50.35,55.63,0.0488,0.3976,1.6237,0
TSLA_P_379_78,408.25,379.85,0.0444,0.2808,0.4725,0
GOOGL_P_172_79,202.37,172.10,0.0357,0.2653,0.5172,0
META_C_185_80,194.84,185.60,0.0355,0.1948,0.2368,1
NVDA_P_552_81,486.12,552.81,0.0410,0.1701,1.5408,0
GOOGL_P_81_82,79.50,81.51,0.0462,0.3498,0.5431,0
SPY_C_416_83,480.12,416.95,0.0407,0.2293,0.7144,1
MSFT_P_540_84,480.90,540.86,0.0334,0.2145,0.7649,0
AAPL_P_101_85,104.27,101.34,0.0336,0.2183,1.9847,0
QQQ_C_355_86,362.93,355.85,0.0418,0.3564,1.2509,1
AMD_P_420_87,471.59,420.21,0.0405,0.1661,1.7496,0
META_C_419_88,461.88,419.04,0.0325,0.3604,1.1505,1
AAPL_C_340_89,399.58,340.82,0.0456,0.2026,1.5686,1
SPY_P_505_90,486.14,505.70,0.0438,0.1833,1.3413,0
GOOGL_C_139_91,123.78,139.10,0.0362,0.3801,1.3609,1
AMD_C_402_92,383.37,402.23,0.0351,0.2745,1.3550,1
META_P_100_93,97.71,100.82,0.0364,0.2581,0.6235,0
TSLA_P_432_94,416.08,432.54,0.0478,0.2364,0.4775,0
SPY_C_165_95,185.78,165.82,0.0466,0.3673,1.1756,1
MSFT_P_288_96,266.52,288.47,0.0427,0.3130,0.1526,0
GOOGL_C_403_97,463.36,403.12,0.0449,0.3870,1.2718,1
NVDA_C_391_98,442.99,391.23,0.0491,0.1512,0.3434,1
GOOGL_C_162_99,172.99,162.13,0.0472,0.3096,1.3557,1
META_C_343_100,340.33,343.52,0.0351,0.3326,0.1541,1
AMD_C_381_101,444.28,381.82,0.0420,0.2102,1.0310,1
AAPL_P_257_102,277.35,257.62,0.0417,0.3402,0.1749,0
AMD_C_417_103,441.81,417.58,0.0308,0.2183,1.2936,1
NVDA_C_319_104,367.66,319.67,0.0379,0.3581,1.8537,1
AMD_C_445_105,492.17,445.83,0.0366,0.2551,1.8521,1
GOOGL_C_161_106,144.77,161.29,0.0408,0.1584,1.9021,1
TSLA_C_428_107,466.41,428.20,0.0497,0.3306,0.7514,1
META_C_318_108,295.52,318.18,0.0350,0.3598,0.3588,1
AMZN_P_368_109,405.38,368.90,0.0395,0.3409,1.7229,0
AMZN_C_325_110,381.49,325.39,0.0324,0.1845,0.3954,1
MSFT_C_100_111,104.60,100.51,0.0429,0.3654,0.6114,1
AAPL_C_101_112,115.73,101.88,0.0488,0.2508,0.7926,1
AMZN_C_241_113,265.03,241.31,0.0359,0.3962,1.1698,1
QQQ_C_445_114,486.76,445.40,0.0402,0.2367,1.1591,1
MSFT_P_242_115,244.10,242.85,0.0484,0.3684,1.9700,0
QQQ_C_206_116,209.84,206.54,0.0398,0.3030,1.4942,1
AMD_C_356_117,341.18,356.29,0.0389,0.1550,0.8215,1
SPY_P_544_118,484.88,544.81,0.0326,0.2988,1.3447,0
SPY_C_102_119,102.15,102.55,0.0351,0.1809,0.8086,1
QQQ_P_393_120,457.46,393.91,0.0459,0.1734,1.2290,0
QQQ_C_339_121,339.50,339.47,0.0308,0.2650,1.8385,1
TSLA_C_54_122,60.19,54.22,0.0331,0.3167,0.8350,1
GOOGL_C_172_123,166.33,172.07,0.0379,0.3109,0.2700,1
QQQ_P_185_124,162.33,185.57,0.0395,0.2191,0.2184,0
NVDA_P_381_125,350.72,381.10,0.0370,0.3233,0.1867,0
GOOGL_P_108_126,120.24,108.54,0.0421,0.3680,1.7909,0
AMD_P_218_127,225.69,218.45,0.0479,0.2693,0.4036,0
AAPL_C_417_128,382.51,417.51,0.0474,0.2205,1.0909,1
QQQ_C_480_129,496.89,480.00,0.0318,0.2380,0.2382,1
META_P_216_130,220.36,216.62,0.0339,0.3496,1.4200,0
QQQ_C_277_131,275.77,277.30,0.0301,0.3381,0.5130,1
AAPL_C_418_132,452.87,418.04,0.0330,0.1642,1.4375,1
SPY_P_526_133,479.98,526.61,0.0453,0.1544,1.7823,0
MSFT_C_362_134,374.15,362.92,0.0335,0.2893,1.4239,1
GOOGL_P_381_135,345.91,381.27,0.0410,0.2036,1.6489,0
GOOGL_C_52_136,61.60,52.48,0.0436,0.3111,1.2430,1
AMZN_C_453_137,396.94,453.46,0.0329,0.3146,0.2871,1
TSLA_C_416_138,477.17,416.65,0.0433,0.1770,0.6272,1
TSLA_P_210_139,244.98,210.37,0.0368,0.3263,1.0904,0
AMZN_C_428_140,476.43,428.98,0.0319,0.2921,1.1185,1
AAPL_C_455_141,413.94,455.25,0.0401,0.1866,0.9229,1
AMZN_C_65_142,75.85,65.07,0.0309,0.3878,1.6419,1
MSFT_C_239_143,247.11,239.93,0.0378,0.2787,1.0526,1
MSFT_C_158_144,138.44,158.75,0.0475,0.3792,0.2268,1
GOOGL_P_265_145,263.74,265.23,0.0301,0.2273,1.2898,0
AAPL_P_148_146,166.05,148.49,0.0356,0.2791,1.9076,0
AMD_C_72_147,84.56,72.93,0.0382,0.3136,1.1047,1
GOOGL_P_76_148,75.11,76.66,0.0375,0.3005,1.0873,0
SPY_C_116_149,103.58,116.71,0.0469,0.2761,1.5969,1
MSFT_P_516_150,460.47,516.73,0.0404,0.1559,1.0785,0
SPY_C_496_151,439.06,496.24,0.0364,0.2260,1.8954,1
MSFT_C_222_152,193.61,222.30,0.0370,0.3033,1.5779,1
AMZN_P_348_153,348.37,348.11,0.0415,0.3359,0.7618,0
SPY_C_213_154,200.44,213.05,0.0358,0.2641,1.5181,1
AMZN_P_64_155,72.66,64.44,0.0490,0.1580,1.2846,0
META_P_388_156,413.89,388.71,0.0416,0.1909,1.8079,0
AAPL_P_231_157,208.19,231.20,0.0311,0.3983,0.7048,0
META_C_92_158,95.86,92.38,0.0435,0.3456,0.2870,1
META_C_421_159,393.21,421.29,0.0355,0.2252,0.6120,1
SPY_P_365_160,423.70,365.92,0.0469,0.3798,0.3140,0
QQQ_C_400_161,447.42,400.96,0.0427,0.1535,0.6956,1
TSLA_C_228_162,237.28,228.83,0.0430,0.2260,1.9388,1
META_P_133_163,136.17,133.81,0.0389,0.2258,0.6346,0
META_P_356_164,335.45,356.98,0.0372,0.3905,0.5946,0
AMZN_C_183_165,208.73,183.39,0.0318,0.3840,1.5599,1
AAPL_C_325_166,284.17,325.84,0.0493,0.3859,1.7056,1
NVDA_C_145_167,168.13,145.35,0.0433,0.3514,0.4670,1
NVDA_C_198_168,200.64,198.90,0.0386,0.2236,1.5029,1
AMD_C_150_169,165.71,150.13,0.0417,0.1707,1.0395,1
QQQ_P_379_170,418.36,379.78,0.0484,0.3339,0.3632,0
AMD_C_250_171,256.79,250.84,0.0353,0.2927,1.6535,1
META_C_84_172,91.29,84.02,0.0362,0.1969,0.7149,1
NVDA_P_434_173,408.21,434.02,0.0370,0.3078,1.1977,0
META_P_198_174,188.78,198.93,0.0367,0.2893,0.7642,0
TSLA_P_286_175,251.51,286.54,0.0323,0.2273,1.9354,0
AAPL_P_305_176,319.88,305.37,0.0417,0.3779,1.3016,0
TSLA_P_278_177,311.60,278.48,0.0499,0.2637,1.8438,0
GOOGL_C_394_178,443.14,394.99,0.0412,0.1777,0.0943,1
MSFT_P_479_179,432.04,479.26,0.0475,0.3237,1.6431,0
QQQ_P_76_180,79.14,76.12,0.0424,0.1566,1.6285,0
AMZN_P_427_181,494.55,427.23,0.0457,0.1752,1.0231,0
MSFT_P_149_182,154.35,149.85,0.0323,0.2965,0.3827,0
TSLA_P_335_183,357.18,335.76,0.0397,0.1743,0.8130,0
GOOGL_C_454_184,495.22,454.66,0.0355,0.3178,0.5557,1
AAPL_C_351_185,344.81,351.73,0.0391,0.3196,1.6735,1
AMD_C_442_186,397.74,442.55,0.0491,0.1559,1.9547,1
MSFT_P_440_187,422.45,440.42,0.0475,0.2567,1.8805,0
AMD_P_177_188,182.36,177.66,0.0490,0.2341,1.8265,0
TSLA_P_325_189,342.12,325.05,0.0410,0.3821,0.8915,0
QQQ_C_332_190,295.70,332.04,0.0407,0.3517,1.5991,1
TSLA_C_338_191,332.36,338.71,0.0301,0.3560,1.7831,1
META_P_130_192,145.20,130.12,0.0360,0.3818,1.2489,0
META_P_484_193,481.73,484.25,0.0392,0.2434,1.1529,0
AMD_P_202_194,179.22,202.82,0.0358,0.3724,1.6237,0
AAPL_C_384_195,337.24,384.02,0.0452,0.2033,1.7475,1
AMZN_C_67_196,74.41,67.84,0.0473,0.3027,1.3967,1
SPY_C_168_197,156.34,168.06,0.0444,0.2900,1.9104,1
GOOGL_P_397_198,437.39,397.41,0.0363,0.3090,1.8889,0
AMZN_P_259_199,295.54,259.80,0.0307,0.3168,1.2034,0
META_P_276_200,285.88,276.05,0.0394,0.3850,1.8633,0
GOOGL_P_66_201,65.73,66.10,0.0388,0.2058,0.6931,0
GOOGL_P_533_202,497.62,533.39,0.0385,0.1728,0.1530,0
AMZN_P_316_203,307.65,316.00,0.0441,0.2271,0.5620,0
QQQ_P_511_204,452.42,511.27,0.0397,0.2372,1.9188,0
AAPL_C_379_205,395.81,379.51,0.0424,0.2377,0.3088,1
QQQ_P_341_206,300.02,341.25,0.0452,0.3066,0.1618,0
SPY_P_404_207,438.79,404.98,0.0479,0.3725,0.5699,0
MSFT_C_468_208,475.57,468.57,0.0485,0.1547,0.6779,1
META_C_502_209,459.09,502.23,0.0325,0.3033,0.2824,1
AMD_P_182_210,204.76,182.56,0.0396,0.2637,0.5252,0
AAPL_C_346_211,327.48,346.59,0.0459,0.1684,1.1484,1
SPY_C_107_212,126.28,107.35,0.0303,0.1993,0.2703,1
SPY_P_251_213,249.27,251.73,0.0465,0.2082,0.8711,0
META_C_375_214,328.16,375.26,0.0391,0.3589,1.8474,1
MSFT_P_139_215,152.44,139.40,0.0345,0.1699,0.9579,0
META_P_77_216,89.48,77.96,0.0301,0.2551,1.6145,0
TSLA_C_367_217,422.53,367.76,0.0327,0.1780,0.7157,1
MSFT_P_285_218,269.10,285.70,0.0404,0.2436,1.3820,0
META_C_82_219,92.23,82.05,0.0441,0.3347,1.5551,1
NVDA_P_89_220,78.42,89.34,0.0459,0.3347,1.9832,0
QQQ_P_365_221,372.55,365.10,0.0305,0.1692,0.8813,0
NVDA_P_555_222,484.14,555.23,0.0425,0.1797,0.7309,0
TSLA_C_227_223,215.61,227.66,0.0444,0.3389,0.6096,1
GOOGL_C_264_224,284.64,264.78,0.0321,0.1532,1.1082,1
AMD_P_216_225,196.86,216.53,0.0470,0.3578,0.8075,0
SPY_P_470_226,455.31,470.97,0.0495,0.3729,1.9371,0
AMZN_C_441_227,498.24,441.67,0.0398,0.1504,1.1898,1
SPY_C_248_228,288.85,248.20,0.0394,0.1700,0.9720,1
MSFT_C_81_229,94.74,81.03,0.0455,0.2928,0.8319,1
AMZN_P_273_230,282.38,273.81,0.0430,0.3918,0.2563,0
MSFT_P_491_231,478.71,491.92,0.0442,0.1768,1.0052,0
QQQ_P_51_232,53.99,51.72,0.0464,0.2871,0.6311,0
MSFT_P_134_233,124.28,134.86,0.0465,0.2333,1.4053,0
QQQ_P_115_234,108.63,115.77,0.0406,0.3410,0.2673,0
AAPL_P_349_235,362.09,349.57,0.0465,0.2200,1.4019,0
MSFT_P_419_236,433.34,419.20,0.0396,0.3815,0.9829,0
MSFT_C_250_237,290.56,250.21,0.0353,0.3140,0.7766,1
QQQ_P_346_238,304.29,346.05,0.0352,0.2760,0.9703,0
AMD_C_158_239,147.52,158.30,0.0307,0.2243,1.9438,1
MSFT_P_294_240,339.36,294.99,0.0362,0.2111,1.6600,0
TSLA_P_199_241,174.57,199.22,0.0394,0.2239,0.6557,0
AMD_C_73_242,76.05,73.64,0.0449,0.3571,1.1962,1
QQQ_P_206_243,193.32,206.61,0.0462,0.3939,1.7622,0
MSFT_P_165_244,163.55,165.25,0.0397,0.3456,0.2004,0
AAPL_P_391_245,398.05,391.35,0.0311,0.2151,1.5035,0
META_C_343_246,400.26,343.49,0.0363,0.2487,0.8072,1
QQQ_C_119_247,104.87,119.74,0.0322,0.1956,0.8648,1
TSLA_P_450_248,465.58,450.82,0.0390,0.1755,1.9380,0
AMD_P_371_249,361.87,371.08,0.0311,0.1615,0.3506,0
QQQ_C_318_250,286.41,318.32,0.0343,0.3313,1.7801,1
AMD_C_171_251,171.56,171.61,0.0306,0.1779,0.5595,1
QQQ_P_279_252,324.94,279.85,0.0427,0.3118,1.6872,0
AMZN_C_362_253,320.95,362.45,0.0467,0.3437,0.1875,1
SPY_C_270_254,264.97,270.82,0.0323,0.2032,0.5941,1
QQQ_C_205_255,236.81,205.64,0.0414,0.3240,0.8091,1
AAPL_P_499_256,435.86,499.07,0.0361,0.1832,1.6152,0
QQQ_P_90_257,93.92,90.34,0.0404,0.2276,0.3871,0
AMZN_P_339_258,395.99,339.89,0.0368,0.1795,1.8461,0
QQQ_C_145_259,137.41,145.93,0.0396,0.1706,0.1389,1
NVDA_C_242_260,213.93,242.72,0.0410,0.3202,0.1188,1
MSFT_P_166_261,169.64,166.01,0.0370,0.3354,1.4596,0
NVDA_P_396_262,405.41,396.81,0.0342,0.3816,1.1504,0
TSLA_C_87_263,88.63,87.79,0.0336,0.2726,0.5817,1
NVDA_P_201_264,191.56,201.96,0.0486,0.3752,1.7054,0
GOOGL_C_456_265,452.45,456.94,0.0484,0.1983,1.0013,1
AAPL_C_262_266,292.30,262.54,0.0375,0.3971,0.1814,1
SPY_C_248_267,221.71,248.60,0.0448,0.2463,0.2586,1
AMZN_C_286_268,317.22,286.58,0.0440,0.2402,0.2960,1
GOOGL_P_233_269,229.46,233.39,0.0368,0.3483,0.5507,0
AMZN_C_350_270,356.92,350.37,0.0498,0.2526,1.3437,1
AAPL_C_327_271,356.57,327.41,0.0366,0.3613,0.1248,1
SPY_P_68_272,72.61,68.30,0.0443,0.2102,1.6729,0
GOOGL_P_491_273,436.78,491.69,0.0427,0.3140,1.8912,0
MSFT_P_129_274,135.42,129.81,0.0371,0.1506,0.8858,0
AMD_P_324_275,377.92,324.29,0.0400,0.1851,1.0698,0
MSFT_C_50_276,59.71,50.80,0.0349,0.3292,0.9867,1
AMD_P_496_277,467.21,496.41,0.0495,0.3166,0.9075,0
NVDA_C_125_278,122.70,125.49,0.0407,0.2420,0.5429,1
GOOGL_P_169_279,182.79,169.98,0.0439,0.1842,1.7604,0
TSLA_P_410_280,402.83,410.89,0.0451,0.3880,0.4814,0
AAPL_P_438_281,387.32,438.81,0.0441,0.3132,1.6882,0
GOOGL_P_315_282,332.45,315.14,0.0324,0.1760,0.2292,0
QQQ_C_416_283,475.77,416.37,0.0412,0.3278,0.9487,1
QQQ_C_53_284,51.98,53.61,0.0314,0.3495,0.2578,1
MSFT_P_170_285,161.61,170.15,0.0428,0.3915,0.1878,0
META_P_94_286,102.45,94.87,0.0321,0.1835,1.5413,0
AMZN_C_227_287,247.40,227.97,0.0480,0.2816,0.7578,1
QQQ_C_71_288,65.75,71.75,0.0482,0.3322,0.1757,1
SPY_C_106_289,93.26,106.26,0.0394,0.3476,1.7908,1
AMZN_P_319_290,348.06,319.61,0.0334,0.2417,1.2095,0
GOOGL_P_316_291,349.96,316.87,0.0498,0.2781,0.1677,0
NVDA_P_267_292,304.09,267.14,0.0489,0.1591,1.5475,0
MSFT_C_54_293,62.30,54.23,0.0416,0.2027,0.7810,1
META_C_95_294,102.57,95.17,0.0432,0.3783,1.1676,1
AAPL_C_418_295,408.70,418.36,0.0394,0.2134,1.1083,1
QQQ_C_378_296,400.48,378.36,0.0332,0.3198,0.9964,1
QQQ_P_158_297,184.74,158.98,0.0367,0.3080,0.5785,0
NVDA_C_241_298,248.32,241.22,0.0492,0.3615,1.8614,1
NVDA_P_436_299,443.07,436.14,0.0475,0.3375,0.1149,0
NVDA_C_203_300,193.45,203.88,0.0359,0.1506,1.4448,1
NVDA_P_394_301,345.60,394.97,0.0387,0.2040,1.4561,0
QQQ_C_490_302,486.19,490.65,0.0342,0.2129,0.5992,1
MSFT_P_79_303,76.57,79.40,0.0344,0.2790,0.4763,0
QQQ_P_201_304,189.59,201.29,0.0448,0.3848,0.8245,0
QQQ_P_107_305,120.32,107.49,0.0401,0.2696,1.5488,0
AAPL_C_293_306,323.78,293.84,0.0378,0.2286,1.0524,1
NVDA_P_128_307,139.42,128.98,0.0401,0.3847,1.2716,0
TSLA_P_151_308,148.41,151.68,0.0357,0.1675,0.8160,0
MSFT_P_239_309,209.77,239.93,0.0374,0.3075,0.7311,0
AAPL_C_329_310,334.64,329.17,0.0321,0.2222,0.2740,1
META_C_402_311,424.87,402.55,0.0429,0.2604,0.2188,1
MSFT_P_173_312,182.75,173.15,0.0316,0.2241,0.4138,0
SPY_P_107_313,97.75,107.35,0.0308,0.3395,0.6208,0
QQQ_C_277_314,288.92,277.35,0.0311,0.3006,1.1362,1
AMZN_C_59_315,58.20,59.77,0.0374,0.2768,0.7254,1
SPY_P_173_316,158.07,173.36,0.0416,0.3424,0.5660,0
AAPL_P_427_317,463.19,427.07,0.0334,0.2826,0.7244,0
TSLA_P_169_318,168.00,169.04,0.0384,0.1826,0.2851,0
AMD_C_417_319,383.49,417.42,0.0384,0.2662,0.1507,1
QQQ_P_369_320,379.77,369.92,0.0403,0.1812,1.4567,0
GOOGL_P_418_321,382.33,418.43,0.0319,0.3088,0.6862,0
AMZN_C_232_322,235.29,232.49,0.0343,0.1759,1.1477,1
NVDA_C_76_323,72.60,76.48,0.0415,0.2534,0.2314,1
MSFT_P_386_324,420.97,386.33,0.0492,0.3870,1.6572,0
GOOGL_P_391_325,367.30,391.93,0.0420,0.3635,1.7576,0
AMD_C_348_326,338.57,348.47,0.0480,0.2701,1.1683,1
QQQ_C_375_327,433.07,375.46,0.0378,0.2080,0.4801,1
NVDA_C_479_328,441.74,479.94,0.0319,0.2250,0.3566,1
QQQ_C_121_329,114.23,121.82,0.0489,0.1821,0.7103,1
AMD_C_319_330,333.73,319.82,0.0480,0.3361,0.1194,1
SPY_C_390_331,412.44,390.94,0.0366,0.3584,0.6742,1
SPY_C_198_332,198.00,198.27,0.0332,0.3658,1.8352,1
AMD_C_364_333,341.21,364.27,0.0431,0.2454,1.8833,1
MSFT_C_480_334,452.33,480.07,0.0431,0.2363,0.3097,1
QQQ_C_69_335,69.57,69.17,0.0381,0.1787,1.2215,1
GOOGL_C_208_336,231.35,208.06,0.0349,0.1848,0.8769,1
AMD_P_389_337,425.59,389.09,0.0447,0.2837,0.3293,0
META_P_241_338,274.45,241.95,0.0434,0.2002,0.5667,0
AMZN_C_194_339,201.98,194.17,0.0447,0.2408,1.4763,1
AMZN_P_260_340,249.65,260.38,0.0431,0.3509,1.0337,0
SPY_C_385_341,339.34,385.85,0.0442,0.2569,1.6389,1
NVDA_C_562_342,491.16,562.27,0.0338,0.1761,1.1334,1
AAPL_P_414_343,437.64,414.39,0.0367,0.3036,1.9222,0
SPY_P_302_344,312.69,302.24,0.0367,0.3401,1.6661,0
MSFT_C_277_345,322.80,277.47,0.0398,0.3813,1.7989,1
NVDA_C_341_346,390.01,341.20,0.0443,0.2496,1.2384,1
AMZN_P_61_347,64.96,61.91,0.0404,0.2207,0.1680,0
TSLA_C_55_348,62.54,55.28,0.0479,0.3615,1.2436,1
NVDA_P_151_349,146.58,151.04,0.0435,0.1961,1.9241,0
SPY_C_421_350,422.70,421.40,0.0462,0.3332,0.9059,1
SPY_P_488_351,444.05,488.92,0.0392,0.3758,1.5964,0
META_C_290_352,262.11,290.24,0.0341,0.2035,0.6369,1
AAPL_C_408_353,455.05,408.99,0.0354,0.3546,0.7931,1
AAPL_C_463_354,452.20,463.87,0.0437,0.3352,0.5028,1
AAPL_P_209_355,233.79,209.91,0.0421,0.2211,0.3562,0
NVDA_P_60_356,53.13,60.73,0.0435,0.2441,1.1511,0
GOOGL_P_482_357,424.73,482.28,0.0462,0.2040,0.7129,0
MSFT_P_276_358,309.76,276.97,0.0482,0.1732,0.7491,0
SPY_P_110_359,104.94,110.75,0.0410,0.1884,0.5083,0
SPY_P_74_360,68.85,74.46,0.0347,0.2029,1.2444,0
AAPL_P_485_361,471.31,485.03,0.0360,0.1529,0.2123,0
AAPL_P_106_362,100.36,106.70,0.0454,0.2201,0.3466,0
META_C_421_363,451.30,421.29,0.0431,0.1887,1.5009,1
AAPL_P_149_364,136.36,149.26,0.0496,0.3220,0.6550,0
MSFT_P_142_365,146.42,142.79,0.0369,0.3322,1.5418,0
AMZN_P_299_366,289.74,299.34,0.0445,0.1582,1.0586,0
MSFT_C_376_367,377.86,376.42,0.0498,0.1887,1.2029,1
NVDA_P_255_368,239.55,255.85,0.0456,0.1990,1.6350,0
AMD_P_109_369,115.78,109.22,0.0492,0.2778,1.6411,0
AMZN_C_273_370,316.86,273.19,0.0346,0.3683,0.7232,1
AMZN_P_84_371,74.83,84.23,0.0495,0.1728,0.6137,0
NVDA_C_294_372,264.52,294.86,0.0358,0.3317,0.7865,1
SPY_P_82_373,92.95,82.89,0.0484,0.1620,1.0731,0
GOOGL_P_143_374,131.40,143.17,0.0444,0.3312,0.9516,0
META_C_438_375,410.06,438.51,0.0483,0.1775,1.3412,1
NVDA_C_246_376,244.84,246.84,0.0474,0.3675,1.2874,1
AMZN_C_233_377,240.67,233.64,0.0305,0.3614,1.4384,1
MSFT_P_378_378,431.83,378.23,0.0362,0.3966,0.1461,0
META_P_513_379,470.54,513.69,0.0354,0.3938,1.5490,0
AAPL_P_386_380,382.65,386.41,0.0392,0.1736,0.2359,0
TSLA_P_494_381,466.21,494.35,0.0496,0.3915,1.0544,0
NVDA_P_467_382,479.69,467.85,0.0416,0.1880,0.6515,0
AMZN_C_386_383,390.53,386.70,0.0349,0.2801,1.6457,1
AAPL_P_376_384,341.68,376.82,0.0327,0.2709,1.9420,0
META_P_383_385,387.45,383.24,0.0366,0.2042,0.7940,0
META_C_476_386,458.96,476.04,0.0462,0.1921,1.9683,1
MSFT_P_303_387,267.72,303.50,0.0475,0.2546,0.2488,0
META_C_168_388,174.42,168.95,0.0451,0.3226,1.4641,1
AAPL_P_72_389,64.12,72.12,0.0488,0.3331,0.9295,0
AMD_P_97_390,101.80,97.20,0.0475,0.2509,0.7308,0
NVDA_C_426_391,415.04,426.06,0.0429,0.1971,0.6747,1
